Kanji,Significado,On,Kun
一,Uno,イチ、イツ,ひと.つ
二,Dos,二、ジ,ふた.つ
三,Tres,サン,み、 み.つ、 みっ.つ
四,Cuatro,シ,よ、 よ.つ、 よっ.つ、 よん
五,Cinco,ゴ,いつ、 いつ.つ
六,Seis,ロク,む、 む.つ、 むっ.つ、 むい
七,Siete,シチ,なな、 なな.つ、 なの
八,Ocho,ハチ,や、 や.つ、 やっ.つ、 よう
九,Nueve,ク、キュウ,ここの.つ
十,Diez,ジュウ,とお
百,Cien,ヒャク,もも
千,Mil,セン,ち
上,Arriba,ジョウ,うえ、 うわ-、 かみ、 あ.げる、あ.がる、 あ.がり、のぼ.る、 のぼ.せる、 のぼ.す、 たてまつ.
下,Abajo,カ、ゲ,した、 しも、 もと、 さ.げる、 さ.がる、 くだ.る、 くだ.す、 くだ.さる、 お.ろす、 お.りる
左,Izquierda,サ,ひだり
右,Derecha,ウ、ユウ,みぎ
中,"Dentro, en medio",チュウ,なか、 うち、 あた.る
大,Grande,ダイ、タイ,おお.きい
小,Pequeño,ショウ,ちい.さい
月,Mes; Luna,ガツ、ゲツ,つき
日,Día; Sol,ニチ、 ジツ,ひ、 -び、 -か
年,Año,ネン,とし
早,Temprano,ソウ、サッ,はや.い
木,Árbol,モク、ボク,き
林,Arboleda,リン,はやし
山,Montaña,サン,やま
川,Río,セン,かわ
土,Tierra,ド,つち
空,Cielo,クウ,そら、 あ.く、 あ.き、 あ.ける、 から、 す.く、 す.かす、 むな.しい
田,Campo de arroz,デン,た
天,Paraíso,テン,あま
生,Vida,セイ、ショウ,い.きる、う.む、なま
花,Flor,カ,はな
草,Hierba,ソウ,くさ
虫,Insecto,チュウ,むし
犬,Perro,ケン,いぬ
人,Persona,ジン、ニン,ひと
名,Nombre,メイ、ミョウ,な
女,Mujer,ジョ、ニョ,おんな
男,Hombre,ダン、ナン,おとこ
子,Niño,シ、ㇲ,こ
目,Ojo,モク,め
耳,Oreja,ジ、二,みみ
口,Boca,コウ,くち
手,Mano,シュ,て
足,Pierna,ソク,あし
見,Ver,ケン,み.る
音,Sonido,オン,ね、おと
力,Fuerza,リキ、リョク,ちから
気,Espíritu,キ、ケ,
円,Círculo; yen,エン,まる
入,Entrar,ニュウ,はい.る、い.る
出,Salir,シュツ,で.る、 -で、 だ.す、 -だ.す、 い.でる、 い.だす
立,Levantarse,リツ,"た,つ"
休,Descansar,キュウ,やす.む
先,Anterior,セン,さき、ま.ず
夕,Tarde,セキ,ゆう
本,Libro,ホン,もと
文,Escritura,ブン、モン,ふみ、あや
字,Carácter,ジ,あざ、 あざな、 -な
学,Estudio,ガク,まな.ぶ
校,Escuela,コウ,
村,Pueblo,ソン,むら
町,Ciudad,チョウ,まち
森,Bosque,シン,もり
正,Correcto,セイ,ただ.しい
水,Agua,スイ,みず
火,Fuego,カ,ひ
玉,"Bola, joya",ギョク,たま
王,Rey,オウ,
石,Piedra,セキ,いし
竹,Bambú,チク,タケ
糸,Hilo,シ,いと
貝,Concha,バイ,かい
車,Coche,シャ,くるま
金,Oro,キン,かね
雨,Lluvia,ウ,あめ
赤,Rojo,セキ,あか
青,Azul,セイ,あお
白,Blanco,ハク、ビャク,しろ、 しら-、 しろ.い